pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=64,sr<=40%,kvB<=1k,kp<=2k,0.1151,2
16,n<=64,sr<=40%,kvB<=1k,kp<=4k,0.1201,2
16,n<=64,sr<=40%,kvB<=1k,kp<=512,0.1334,2
16,n<=64,sr<=40%,kvB<=1k,kp<=8k,0.1163,2
16,n<=64,sr<=40%,kvB<=1k,kp=0,0.1238,2
16,n<=64,sr<=40%,kvB<=4k,kp<=1k,0.1384,2
16,n<=64,sr<=40%,kvB<=4k,kp<=2k,0.1275,2
16,n<=64,sr<=40%,kvB<=4k,kp<=4k,0.1382,2
16,n<=64,sr<=40%,kvB<=4k,kp<=512,0.1402,2
16,n<=64,sr<=40%,kvB<=4k,kp<=8k,0.1443,2
16,n<=64,sr<=40%,kvB<=4k,kp=0,0.1363,2
16,n<=64,sr<=5%,kvB<=16k,kp<=1k,0.147,6
16,n<=64,sr<=5%,kvB<=16k,kp<=2k,0.1362,6
16,n<=64,sr<=5%,kvB<=16k,kp<=4k,0.1504,6
16,n<=64,sr<=5%,kvB<=16k,kp<=512,0.1602,6
16,n<=64,sr<=5%,kvB<=16k,kp<=8k,0.1532,6
16,n<=64,sr<=5%,kvB<=16k,kp=0,0.1544,6
16,n<=64,sr<=5%,kvB<=1k,kp<=1k,0.1527,6
16,n<=64,sr<=5%,kvB<=1k,kp<=2k,0.1486,6
16,n<=64,sr<=5%,kvB<=1k,kp<=4k,0.1574,6
16,n<=64,sr<=5%,kvB<=1k,kp<=512,0.1551,6
16,n<=64,sr<=5%,kvB<=1k,kp<=8k,0.156,6
16,n<=64,sr<=5%,kvB<=1k,kp=0,0.1459,6
16,n<=64,sr<=5%,kvB<=4k,kp<=1k,0.1467,6
16,n<=64,sr<=5%,kvB<=4k,kp<=2k,0.1422,6
16,n<=64,sr<=5%,kvB<=4k,kp<=4k,0.149,6
16,n<=64,sr<=5%,kvB<=4k,kp<=512,0.1548,6
16,n<=64,sr<=5%,kvB<=4k,kp<=8k,0.1414,6
16,n<=64,sr<=5%,kvB<=4k,kp=0,0.1538,6
16,n<=64,sr<=70%,kvB<=16k,kp<=1k,0.1381,2
16,n<=64,sr<=70%,kvB<=16k,kp<=2k,0.1445,2
16,n<=64,sr<=70%,kvB<=16k,kp<=4k,0.1584,2
16,n<=64,sr<=70%,kvB<=16k,kp<=512,0.156,2
16,n<=64,sr<=70%,kvB<=16k,kp<=8k,0.1577,2
16,n<=64,sr<=70%,kvB<=16k,kp=0,0.1621,2
16,n<=64,sr<=70%,kvB<=1k,kp<=1k,0.1469,2
16,n<=64,sr<=70%,kvB<=1k,kp<=2k,0.1592,2
16,n<=64,sr<=70%,kvB<=1k,kp<=4k,0.1572,2
16,n<=64,sr<=70%,kvB<=1k,kp<=512,0.1443,2
16,n<=64,sr<=70%,kvB<=1k,kp<=8k,0.1615,2
16,n<=64,sr<=70%,kvB<=1k,kp=0,0.1472,2
16,n<=64,sr<=70%,kvB<=4k,kp<=1k,0.1959,2
16,n<=64,sr<=70%,kvB<=4k,kp<=2k,0.1766,2
16,n<=64,sr<=70%,kvB<=4k,kp<=4k,0.18,2
16,n<=64,sr<=70%,kvB<=4k,kp<=512,0.1535,2
16,n<=64,sr<=70%,kvB<=4k,kp<=8k,0.1803,2
16,n<=64,sr<=70%,kvB<=4k,kp=0,0.1809,2
16,n<=64,sr>70%,kvB<=16k,kp<=1k,0.1485,4
16,n<=64,sr>70%,kvB<=16k,kp<=2k,0.1362,4
16,n<=64,sr>70%,kvB<=16k,kp<=4k,0.1467,4
16,n<=64,sr>70%,kvB<=16k,kp<=512,0.15,4
16,n<=64,sr>70%,kvB<=16k,kp<=8k,0.1519,4
16,n<=64,sr>70%,kvB<=16k,kp=0,0.1494,4
16,n<=64,sr>70%,kvB<=1k,kp<=1k,0.2206,4
16,n<=64,sr>70%,kvB<=1k,kp<=2k,0.2259,4
16,n<=64,sr>70%,kvB<=1k,kp<=4k,0.2217,4
16,n<=64,sr>70%,kvB<=1k,kp<=512,0.2013,4
16,n<=64,sr>70%,kvB<=1k,kp<=8k,0.2031,4
16,n<=64,sr>70%,kvB<=1k,kp=0,0.2071,4
16,n<=64,sr>70%,kvB<=4k,kp<=1k,0.1804,4
16,n<=64,sr>70%,kvB<=4k,kp<=2k,0.1646,4
16,n<=64,sr>70%,kvB<=4k,kp<=4k,0.1758,4
16,n<=64,sr>70%,kvB<=4k,kp<=512,0.1845,4
16,n<=64,sr>70%,kvB<=4k,kp<=8k,0.1473,4
16,n<=64,sr>70%,kvB<=4k,kp=0,0.1612,4
16,n<=8,sr<=15%,kvB<=16k,kp<=1k,0.2145,2
16,n<=8,sr<=15%,kvB<=16k,kp<=2k,0.2117,2
