pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
256,n<=128,sr<=70%,kvB<=1k,kp<=1k,-0.0201,2
256,n<=128,sr<=70%,kvB<=1k,kp<=512,-0.0275,2
256,n<=128,sr<=70%,kvB<=1k,kp=0,-0.0231,2
256,n<=128,sr>70%,kvB<=1k,kp<=1k,-0.0754,4
256,n<=128,sr>70%,kvB<=1k,kp<=512,-0.0671,4
256,n<=128,sr>70%,kvB<=1k,kp=0,-0.0548,4
256,n<=16,sr<=15%,kvB<=1k,kp<=1k,0.4388,4
256,n<=16,sr<=15%,kvB<=1k,kp<=512,0.4385,4
256,n<=16,sr<=15%,kvB<=1k,kp=0,0.4326,4
256,n<=16,sr<=40%,kvB<=1k,kp<=1k,0.5083,4
256,n<=16,sr<=40%,kvB<=1k,kp<=512,0.5059,4
256,n<=16,sr<=40%,kvB<=1k,kp=0,0.495,4
256,n<=16,sr<=70%,kvB<=1k,kp<=1k,0.9047,2
256,n<=16,sr<=70%,kvB<=1k,kp<=512,0.9162,2
256,n<=16,sr<=70%,kvB<=1k,kp=0,0.9174,2
256,n<=16,sr>70%,kvB<=1k,kp<=1k,0.8998,4
256,n<=16,sr>70%,kvB<=1k,kp<=512,0.8856,4
256,n<=16,sr>70%,kvB<=1k,kp=0,0.9305,4
256,n<=2,sr<=70%,kvB<=1k,kp<=1k,0.0313,2
256,n<=2,sr<=70%,kvB<=1k,kp<=512,-0.1056,2
256,n<=2,sr<=70%,kvB<=1k,kp=0,-0.0068,2
256,n<=32,sr<=15%,kvB<=1k,kp<=1k,0.3406,6
256,n<=32,sr<=15%,kvB<=1k,kp<=512,0.3352,6
256,n<=32,sr<=15%,kvB<=1k,kp=0,0.3214,6
256,n<=32,sr<=40%,kvB<=1k,kp<=1k,0.2879,2
256,n<=32,sr<=40%,kvB<=1k,kp<=512,0.3047,2
256,n<=32,sr<=40%,kvB<=1k,kp=0,0.3016,2
256,n<=32,sr<=5%,kvB<=1k,kp<=1k,0.2952,2
256,n<=32,sr<=5%,kvB<=1k,kp<=512,0.3565,2
256,n<=32,sr<=5%,kvB<=1k,kp=0,0.3284,2
256,n<=32,sr<=70%,kvB<=1k,kp<=1k,0.5087,2
256,n<=32,sr<=70%,kvB<=1k,kp<=512,0.433,2
256,n<=32,sr<=70%,kvB<=1k,kp=0,0.5622,2
256,n<=32,sr>70%,kvB<=1k,kp<=1k,0.8518,4
