regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
mixed,8,1,0.125,4.0,64,1024,128,512,176,379.074,450.24,383.295,0.0593
mixed,8,1,0.125,4.0,64,1024,256,1024,352,418.785,551.809,435.043,0.1222
mixed,8,1,0.125,4.0,128,0,128,512,176,183.746,257.794,188.002,0.0575
mixed,8,1,0.125,4.0,128,0,256,1024,352,220.032,359.01,239.711,0.1416
mixed,8,1,0.125,4.0,128,512,128,512,176,423.967,498.209,430.304,0.0854
mixed,8,1,0.125,4.0,128,512,256,1024,352,457.825,602.657,477.828,0.1381
mixed,8,1,0.125,4.0,128,1024,128,512,176,521.826,593.762,526.115,0.0596
mixed,8,1,0.125,4.0,128,1024,256,1024,352,559.361,700.48,576.773,0.1234
mixed,8,1,0.125,4.0,256,0,128,512,176,476.32,546.304,479.939,0.0517
mixed,8,1,0.125,4.0,256,0,256,1024,352,511.169,650.626,531.999,0.1494
mixed,8,1,0.125,4.0,256,512,128,512,176,678.049,751.33,681.569,0.048
mixed,8,1,0.125,4.0,256,512,256,1024,352,710.437,850.656,727.874,0.1244
mixed,8,1,0.125,4.0,256,1024,128,512,176,876.611,949.796,884.416,0.1066
mixed,8,1,0.125,4.0,256,1024,256,1024,352,912.481,1049.987,928.865,0.1192
mixed,8,1,0.125,4.0,512,0,128,512,176,558.69,632.259,562.465,0.0513
mixed,8,1,0.125,4.0,512,0,256,1024,352,592.258,735.873,612.449,0.1406
mixed,8,1,0.125,4.0,512,512,128,512,176,974.275,1045.859,979.044,0.0666
mixed,8,1,0.125,4.0,512,512,256,1024,352,1009.569,1148.16,1029.763,0.1457
mixed,8,1,0.125,4.0,512,1024,128,512,176,1365.378,1439.526,1371.622,0.0842
mixed,8,1,0.125,4.0,512,1024,256,1024,352,1401.54,1540.1,1419.527,0.1298
mixed,8,1,0.125,4.0,1024,0,128,512,176,1347.939,1422.531,1355.491,0.1012
mixed,8,1,0.125,4.0,1024,0,256,1024,352,1386.756,1522.083,1407.011,0.1497
mixed,8,1,0.125,4.0,1024,512,128,512,176,2199.334,2273.51,2201.99,0.0358
mixed,8,1,0.125,4.0,1024,512,256,1024,352,2234.084,2367.43,2256.966,0.1716
pure,8,2,0.25,4.0,0,0,128,512,224,102.495,167.744,108.737,0.0957
pure,8,2,0.25,4.0,0,0,256,1024,448,154.272,267.138,161.663,0.0655
mixed,8,2,0.25,4.0,16,0,128,512,224,125.759,190.209,133.89,0.1262
mixed,8,2,0.25,4.0,16,0,256,1024,448,176.289,292.065,185.696,0.0813
mixed,8,2,0.25,4.0,16,512,128,512,224,176.863,242.046,184.386,0.1154
